Descriá∆o;Preáo;Estoque Dispon°vel;Custo Unit†rio;Custo Total;Preáo Total;C¢digo;Categoria;Unidade;Fornecedor Principal;Estoque Min.;Estoque Max.;Abaixo Min.;Repor;Pràmio ?;Pontos Nec.;Markup %;NCM;C¢digo Extra;C¢digo Ref.;Marca;Tributaá∆o;CEST;Peso L°q.;Peso Bruto;Inclu°do em;Alterado em;Alterado por;Comiss∆o;Localizacao
FIO DE SUTURA MONONYLON 5-0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 33,21;0,;R$ 22,91;R$ 0,00;R$ 0,00;281;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:46:59;28/05/2019 19:38:22;admin;;
FIO DE SUTURA VICRIL 1-0 - MARCA : TECHNOFIO - CAIXA COM 36 UNIDADES;R$ 312,33;0,;R$ 215,40;R$ 0,00;R$ 0,00;282;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:47:15;20/03/2020 21:25:21;admin;;
FITA ADESIVA MARROM TAM. 48 x 40 MT;R$ 3,19;291,;R$ 2,20;R$ 640,20;R$ 928,29;454;MATERIAL DE EXPEDIENTE;;;0;0;s/m;;N∆o;;;59061000   FITAS ADESIVAS,TECIDAS COM BORRACHA,DE LARGURA<=20;;;;;;;;25/05/2016 14:51:28;14/08/2018 10:25:22;admin;;
FITA ADESIVA TRANSPARENTE TAM. 48 x 45 MT;R$ 3,19;92,;R$ 2,20;R$ 202,40;R$ 293,48;348;MATERIAL DE EXPEDIENTE;;;0;0;s/m;;N∆o;;;59061000   FITAS ADESIVAS,TECIDAS COM BORRACHA,DE LARGURA<=20;;;;;;;;20/10/2014 14:58:21;14/08/2018 10:25:09;admin;;
FITA HOSPITALAR CREPE 19 mm x 50 m - MARCA : CIEX;R$ 3,08;0,;R$ 2,13;R$ 0,00;R$ 0,00;65;MATERIAL HOSPITALAR;;;50;2000;Sim;2000;N∆o;;;30051090   OUTSPENSOS ADESIVOS,ARTIGOS ANALOGOS C/CAMADA ADES;;;;;;;;02/04/2014 10:13:21;05/07/2019 20:48:23;admin;;
FITA INDICADORA PARA AUTOCLAVE 19 x 30 - MARCA : CIEX;R$ 3,07;207,;R$ 2,12;R$ 438,84;R$ 635,49;332;MATERIAL HOSPITALAR;;;100;2000;N∆o;;N∆o;;;30051090   OUTSPENSOS ADESIVOS,ARTIGOS ANALOGOS C/CAMADA ADES;;;;;;;;04/09/2014 18:29:48;23/05/2018 10:03:21;admin;;
FLANELA AMARELA - 40 x 60 cm - MARCA : BRULIMP;R$ 1,81;205,;R$ 1,25;R$ 256,25;R$ 371,05;000620;MATERIAL DE LIMPEZA;;;150;2000;N∆o;;N∆o;;;63071000   RODILHAS,ESFREGOES E OUTSARTEFATOS CONFECCDE LIMPE;;;;;;;;05/09/2014 09:05:14;18/01/2021 09:44:04;admin;;
FLANELA AMARELA - 50 X 80 cm - MARCA : BRULIMP;R$ 2,42;99,;R$ 1,67;R$ 165,33;R$ 239,58;415;MATERIAL DE LIMPEZA;;;150;2000;Sim;1901;N∆o;;;63071000   RODILHAS,ESFREGOES E OUTSARTEFATOS CONFECCDE LIMPE;;;;;;;;05/08/2015 10:03:46;30/09/2020 08:33:58;admin;;
FLANELA BRANCA - 30 x 50 cm - MARCA : DANTEX;R$ 1,01;0,;R$ 0,70;R$ 0,00;R$ 0,00;202;MATERIAL DE LIMPEZA;;;100;3000;Sim;3000;N∆o;;;63071000   RODILHAS,ESFREGOES E OUTSARTEFATOS CONFECCDE LIMPE;;;;;;;;13/05/2014 10:07:49;29/04/2020 11:35:17;admin;;
FLANELA BRANCA - 40 x 60 cm - MARCA : BRULIMP;R$ 1,81;541,;R$ 1,25;R$ 676,25;R$ 979,21;179;MATERIAL DE LIMPEZA;;;40;1000;N∆o;;N∆o;;;63071000   RODILHAS,ESFREGOES E OUTSARTEFATOS CONFECCDE LIMPE;;;;;;;;29/04/2014 15:37:33;04/12/2020 09:51:02;admin;;
FLANELA VERMELHA - 40 x 60 cm - MARCA : FLANELA & CIA;R$ 1,20;7,;R$ 0,83;R$ 5,81;R$ 8,40;237;MATERIAL DE LIMPEZA;;;100;1000;Sim;993;N∆o;;;63071000   RODILHAS,ESFREGOES E OUTSARTEFATOS CONFECCDE LIMPE;;;;;;;;29/05/2014 08:38:59;23/05/2018 10:08:52;admin;;
FOG«O 06 BOCAS - MARCA : CONSUL;R$ 943,80;0,;R$ 650,90;R$ 0,00;R$ 0,00;299;MATERIAL PERMANENTE;;;0;0;s/m;;N∆o;;;85166000   OUTSFORNOS,FOGOES DE COZINHA,FOGAREIROS,ETCELETROT;;;;;;;;28/07/2014 13:29:34;23/05/2018 10:12:03;admin;;
FORMOL 37% - EMBALAGEM COM 1.000 ml;R$ 13,26;0,;R$ 9,15;R$ 0,00;R$ 0,00;462;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;;30049099   OUTROS MEDICAMCONTPRODSP/FINS TERAPEUTICOS,ETCDOSE;;;;;;;;07/03/2016 19:51:50;12/07/2019 08:15:13;admin;;
FOSFORO PACOTE COM 10 CAIXAS COM 40 PALITOS - MARCA : QUE LUZ;R$ 2,53;0,;R$ 1,81;R$ 0,00;R$ 0,00;97;MATERIAL DESCARTAVEL;;;1;100;Sim;100;N∆o;;40;36050000   FOSFOROS,EXCETO OS ARTIGOS DE PIROTECNIA;;;;;;;;03/04/2014 20:02:12;16/12/2020 17:12:19;admin;;
FOSFORO PACOTE COM 10 CAIXAS COM 40 PALITOS - MARCA : QUE LUZ;R$ 2,45;332,;R$ 1,75;R$ 581,00;R$ 813,40;270;MATERIAL DESCARTAVEL;;;1;100;N∆o;;N∆o;;40;36050000   FOSFOROS,EXCETO OS ARTIGOS DE PIROTECNIA;;;;;;;;18/06/2014 18:53:37;24/04/2019 18:19:58;admin;;
FRALDA GERIATRICA EXTRA GRANDE - MARCA : MASTER CARE - PACOTE COM 07 UNIDADES;R$ 12,28;250,;R$ 8,47;R$ 2.117,50;R$ 3.070,00;130;MATERIAL HOSPITALAR;;;150;2500;N∆o;;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;11/04/2014 10:32:22;06/07/2020 12:14:41;admin;;
FRALDA GERIATRICA GRANDE - MARCA : MASTER CARE - PACOTE COM 08 UNIDADES;R$ 12,28;76,;R$ 8,47;R$ 643,72;R$ 933,28;129;MATERIAL HOSPITALAR;;;150;2500;Sim;2424;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;11/04/2014 10:31:17;03/07/2020 16:50:25;admin;;
FRALDA GERIATRICA MêDIA - MARCA : MASTER CARE - PACOTE COM 08 UNIDADES;R$ 12,28;640,;R$ 8,47;R$ 5.420,80;R$ 7.859,20;128;MATERIAL HOSPITALAR;;;100;2500;N∆o;;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;11/04/2014 10:30:05;06/07/2020 12:14:31;admin;;
FRALDA INFANTIL TAMANHO G - PACOTE COM 07 UNIDADES - MARCA : TRELOSO BABY;R$ 6,11;30,;R$ 4,22;R$ 126,60;R$ 183,30;165;MATERIAL DESCARTAVEL;;;200;3000;Sim;2970;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;25/04/2014 15:50:36;06/07/2020 12:14:51;admin;;
FRALDA INFANTIL TAMANHO M - PACOTE COM 08 UNIDADES;R$ 6,11;300,;R$ 4,22;R$ 1.266,00;R$ 1.833,00;164;MATERIAL DESCARTAVEL;;;200;3000;N∆o;;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;25/04/2014 15:49:46;19/10/2020 17:26:06;admin;;
FRALDA INFANTIL TAMANHO P - PACOTE COM 09 UNIDADES - MARCA : TRELOSO BABY;R$ 5,33;100,;R$ 3,68;R$ 368,00;R$ 533,00;163;MATERIAL DESCARTAVEL;;;200;3000;Sim;2900;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;25/04/2014 15:48:59;30/10/2020 16:27:43;admin;;
FRALDA INFANTIL TAMANHO XG - PACOTE COM 07 UNIDADES - MARCA : TRELOSO BABY;R$ 6,11;60,;R$ 4,22;R$ 253,20;R$ 366,60;166;MATERIAL DESCARTAVEL;;;200;3000;Sim;2940;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;25/04/2014 15:51:12;06/07/2020 12:14:58;admin;;
GARFO DESCARTAVEL - MARCA : APS - PACOTE COM 50 UNIDADES;R$ 2,82;0,;R$ 2,02;R$ 0,00;R$ 0,00;224;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;40;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;23/05/2014 19:12:47;16/11/2020 19:56:02;admin;;
GARFO PARA REFEIÄ«O - CAIXA COM 1.000 UNIDADES;R$ 66,45;0,;R$ 45,83;R$ 0,00;R$ 0,00;000623;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;;;;;;;;;;22/01/2021 16:43:43;;;;
GARRAFA PET COM VALVULA BICO DE PATO;R$ 6,58;21,;R$ 4,70;R$ 98,70;R$ 138,18;411;MATERIAL DE LIMPEZA;;;500;10000;Sim;9979;N∆o;;40;68053090   OUTROS ABRASIVOS NAT/ARTIFEM PO/GRAOS APLICOUTMATE;;;;;;;;26/04/2016 11:08:00;18/12/2020 14:38:50;admin;;
GARRAFA TERMICA DE 01 LITRO - MARCA : ALADIN;R$ 29,27;10,;R$ 20,19;R$ 201,90;R$ 292,70;331;MATERIAL PLASTICO;;;5;100;N∆o;;N∆o;;;96170010   GARRAFA TERMICA/OUTSRECIPISOTERMMONTADOS,ISOLVACUO;;;;;;;;04/09/2014 18:16:18;25/07/2019 09:33:44;admin;;
GELCO 18 G - MARCA : HEALCATH;R$ 0,81;0,;R$ 0,56;R$ 0,00;R$ 0,00;302;MATERIAL DESCARTAVEL;;;5;2000;Sim;2000;N∆o;;;90183929   OUTRAS SONDAS,CATETERES E CANULAS;;;;;;;;28/07/2014 13:43:26;11/10/2018 17:24:19;admin;;
GELCO 20 G - MARCA : HEALCATH;R$ 0,81;0,;R$ 0,56;R$ 0,00;R$ 0,00;521;MATERIAL ALIMENTICIO;;;0;0;s/m;;N∆o;;;90183929   OUTRAS SONDAS,CATETERES E CANULAS;;;;;;;;10/02/2017 10:10:48;11/10/2018 17:24:09;admin;;
GRAMPEADOR - MARCA : MAPED;R$ 19,82;8,;R$ 12,39;R$ 99,12;R$ 158,56;452;MATERIAL DE EXPEDIENTE;;;0;0;s/m;;N∆o;;60;84729040   MAQUINAS DE APONTAR LAPIS,PERFURADORES,GRAMPEADORE;;;;;;;;02/05/2016 16:16:00;03/09/2020 08:43:54;admin;;
GUARDANAPO CAI CAI - 250 FOLHAS SIMPLES;R$ 3,48;0,;R$ 2,40;R$ 0,00;R$ 0,00;000621;;;;0;0;s/m;;N∆o;;;;;;;;;;;26/10/2020 11:34:57;26/10/2020 11:35:34;admin;;
GUARDANAPO TAMANHO 14 x 14 cm - PACOTE COM 200 UNIDADES - MARCA : GULA;R$ 1,50;1740,;R$ 1,04;R$ 1.809,60;R$ 2.610,00;212;MATERIAL DESCARTAVEL;;;100;1000;N∆o;;N∆o;;;48183000   TOALHAS E GUARDANAPOS,DE PAPEL,DE MESA;;;;;;;;15/05/2014 20:10:45;26/10/2020 11:34:19;admin;;
GUARDANAPO TAMANHO 20 x 18 cm - PACOTE COM 40 UNIDADES - MARCA: MAXX;R$ 0,56;1022,;R$ 0,39;R$ 398,58;R$ 572,32;213;MATERIAL DESCARTAVEL;;;200;2000;N∆o;;N∆o;;;48183000   TOALHAS E GUARDANAPOS,DE PAPEL,DE MESA;;;;;;;;15/05/2014 20:11:34;15/07/2020 14:30:59;admin;;
GUARDANAPO TAMANHO 22 x 20 cm  PACOTE COM 50 UNIDADES - MARCA : MAXX;R$ 0,76;1060,;R$ 0,53;R$ 561,80;R$ 805,60;467;MATERIAL HOSPITALAR;;;30;2000;N∆o;;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;20/06/2017 18:48:01;22/05/2020 15:37:05;admin;;
GUARDANAPO TAMANHO 29 x 30 cm - MARCA : PEROLA - PACOTE COM 48 UNIDADES;R$ 1,30;15,;R$ 0,90;R$ 13,50;R$ 19,50;367;MATERIAL HOSPITALAR;;;100;2500;Sim;2485;N∆o;;;48184010   FRALDAS DE PAPEL;;;;;;;;09/01/2015 16:28:19;20/05/2020 16:34:10;admin;;
GUARDANAPO TAMANHO 30 x 30 cm - PACOTE COM 30 UNIDADES - MARCA : CONFORTO;R$ 1,50;37,;R$ 1,04;R$ 38,48;R$ 55,50;211;MATERIAL DESCARTAVEL;;;30;1000;N∆o;;N∆o;;;48183000   TOALHAS E GUARDANAPOS,DE PAPEL,DE MESA;;;;;;;;15/05/2014 20:09:26;15/07/2020 14:31:54;admin;;
HAMBURGUERIA ISOBRAS TAMPA ARTICULADA - COM 100 UNIDADES;R$ 53,95;1,;R$ 37,21;R$ 37,21;R$ 53,95;304;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;;85044040   EQUIPAMENTO DE ALIMENTININTERRUPTA DE ENERGIA ELET;;;;;;;;01/08/2014 15:59:21;18/08/2020 08:53:56;admin;;
HIPOCLORITO 1 % DE 05 LITROS - MARCA : BRASCOM;R$ 11,60;48,;R$ 8,00;R$ 384,00;R$ 556,80;357;MATERIAL HOSPITALAR;;;10;100;N∆o;;N∆o;;;28289011   HIPOCLORITOS DE SODIO;;;;;;;;12/11/2014 11:15:06;26/11/2020 17:57:54;admin;;
HIPOCLORITO 10%  5 LITROS - TECNOLLAR;R$ 15,95;0,;R$ 11,00;R$ 0,00;R$ 0,00;470;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;06/09/2016 11:20:56;14/08/2020 09:21:45;admin;;
HIPOCLORITO 2 % DE 05 LITROS - MARCA : BRASCOM;R$ 13,05;26,;R$ 9,00;R$ 234,00;R$ 339,30;106;MATERIAL HOSPITALAR;;;10;100;N∆o;;N∆o;;;28289011   HIPOCLORITOS DE SODIO;;;;;;;;04/04/2014 11:35:53;26/11/2020 17:58:05;admin;;
HIPOCLORITO LIQUIDO ∑ 10 % DE 05 LITROS - MARCA : KC;R$ 12,60;19,;R$ 9,00;R$ 171,00;R$ 239,40;223;MATERIAL DE LIMPEZA;;;10;100;N∆o;;N∆o;;40;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;20/05/2014 18:57:36;27/01/2021 16:21:29;admin;;
HIPOCLORITO LIQUIDO DE 10% DE 05 LITROS - MARCA : BRASCOM;R$ 27,55;13,;R$ 19,00;R$ 247,00;R$ 358,15;147;MATERIAL DE LIMPEZA;;;5;100;N∆o;;N∆o;;;34012090   OUTROS SABOES;;;;;;;;14/04/2014 16:10:26;14/10/2020 08:42:07;admin;;
IMPRESSORA HP 1102;R$ 644,11;5,;R$ 444,22;R$ 2.221,10;R$ 3.220,55;324;MATERIAL ALIMENTICIO;;;5;20;N∆o;;N∆o;;;"84716025   IMPRESSORAS C/VI<30PPM,A \""LASER\"",ETCMONOCROMLI<=42";;;;;;;;30/08/2014 10:50:27;23/05/2018 10:22:38;admin;;
IMPRESSORA HP LASER M125A;R$ 940,38;0,;R$ 648,54;R$ 0,00;R$ 0,00;306;MATERIAL DE INFORMATICA;;;0;0;s/m;;N∆o;;;"84716025   IMPRESSORAS C/VI<30PPM,A \""LASER\"",ETCMONOCROMLI<=42";;;;;;;;01/08/2014 16:00:00;23/05/2018 10:22:47;admin;;
INSETICIDA 300 ml - MARCA : SBP;R$ 10,35;8,;R$ 7,14;R$ 57,12;R$ 82,80;78;MATERIAL DE LIMPEZA;;;50;1000;Sim;992;N∆o;;;38081027   INSETICIDA A BASE DE OLEO MINERAL;;;;;;;;02/04/2014 21:42:03;01/02/2021 17:37:59;admin;;
INSETICIDA AEROSOL 300 ml;R$ 6,49;64,;R$ 4,48;R$ 286,72;R$ 415,36;000619;MATERIAL DE LIMPEZA;;;5;20;N∆o;;N∆o;;;"84716025   IMPRESSORAS C/VI<30PPM,A \""LASER\"",ETCMONOCROMLI<=42";;;;;;;;25/04/2014 16:23:35;10/09/2020 11:03:37;admin;;
INSETICIDA AEROSOL DE 400 ml - MARCA : MAT INSET;R$ 8,46;96,;R$ 5,84;R$ 560,64;R$ 812,16;519;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;45;22011000   AGUA MINERAL/GASEIFN/ADICIONACUCAR,N/AROMATIZADA,E;;;;;;;;03/01/2017 16:45:09;22/12/2020 08:43:12;admin;;
LEITE EM P‡ DESNATADO 200 g - MARCA CCGL;R$ 5,51;0,;R$ 3,80;R$ 0,00;R$ 0,00;74;MATERIAL ALIMENTICIO;;;50;200;Sim;200;N∆o;;;04022120   LEITE PARCDESNATEM PO,MATGORDA>15%,CONCENTRN/ADOC;;;;;;;;02/04/2014 17:14:15;19/07/2018 17:28:20;admin;;
LENÄOL HOSPITALAR 50 x 70 cm ;R$ 7,28;49,;R$ 5,20;R$ 254,80;R$ 356,72;10;MATERIAL HOSPITALAR;;;50;1000;Sim;951;N∆o;;40;48189000   OUTSARTIGOS DE PAPEL,P/USO SANITARIO/DOMESTICO/HOS;;;;;;;;20/03/2014 13:31:46;28/12/2020 08:43:39;admin;;
LENÄOL HOSPITALAR 50X50 CM - BRANCO FARDO COM 10 ROLOS;R$ 55,10;0,;R$ 38,00;R$ 0,00;R$ 0,00;168;MATERIAL PLASTICO;;;5;50;Sim;50;N∆o;;;63029300   ROUPAS DE TOUCADOR/COZINHA,DE FIBRAS SINTETICAS/AR;;;;;;;;25/04/2014 15:53:30;28/12/2020 16:53:13;admin;;
LIMPA ALUMINIO EMBALAGEM COM 500 ml - MARCA : HIPER BOM;R$ 1,69;12,;R$ 1,17;R$ 14,04;R$ 20,28;530;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;34029039   OUTRAS PREPARACOES PARA LAVAGEM (DETERGENTES);;;;;;;;25/05/2017 08:07:37;01/02/2021 17:41:48;admin;;
LIMPA BAU CONCENTRAÄ«O 1/10 DE 05 LITROS - MARCA : BRASCOM BAUCLIM;R$ 31,90;13,;R$ 22,00;R$ 286,00;R$ 414,70;476;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;29336919   OUTSCOMPOSTHETEROCCICLO TRIAZINA,C/CLORO LIGCOVALE;;;;;;;;13/09/2016 13:36:39;04/01/2021 11:20:01;admin;;
LIMPA BAU CONCENTRAÄ«O 1/30 DE 05 LITROS - MARCA : BRASCOM SC 100;R$ 57,13;21,;R$ 39,40;R$ 827,40;R$ 1.199,73;456;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;34029039   OUTRAS PREPARACOES PARA LAVAGEM (DETERGENTES);;;;;;;;14/06/2016 13:26:13;21/01/2021 15:34:47;admin;;
LIMPA VIDRO 500 ml - MARCA : AUDAX;R$ 2,61;313,;R$ 1,80;R$ 563,40;R$ 816,93;127;MATERIAL DE LIMPEZA;;;50;2000;N∆o;;N∆o;;;34021900   OUTROS AGENTES ORGANICOS DE SUPERFICIE;;;;;;;;10/04/2014 11:02:39;13/07/2020 15:59:39;admin;;
LIMPA VIDROS DE 05 LITROS - AUDAX;R$ 15,25;3,;R$ 10,52;R$ 31,56;R$ 45,75;540;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;82122010   LAMINAS DE BARBEAR,DE SEGURANCA,DE METAIS COMUNS;;;;;;;;22/06/2016 11:40:36;26/10/2020 13:14:45;admin;;
LIMPADOR DE USO GERAL 5 LITROS - TECNOLLAR;R$ 7,25;0,;R$ 5,00;R$ 0,00;R$ 0,00;352;MATERIAL DE EXPEDIENTE;;;0;0;s/m;;N∆o;;;96082000   CANETAS E MARCADORES,C/PONTA DE FELTRO/PONTAS PORO;;;;;;;;20/10/2014 14:59:38;26/01/2021 18:00:49;admin;;
LIMPADOR MULTIUSO 500 ml - MARCA : AUDAX;R$ 3,45;-9,;R$ 2,38;-R$ 21,42;-R$ 31,05;109;MATERIAL DE LIMPEZA;;;50;2000;Sim;2009;N∆o;;;34021900   OUTROS AGENTES ORGANICOS DE SUPERFICIE;;;;;;;;04/04/2014 12:08:16;29/01/2021 15:47:20;admin;;
LIMPADOR MULTIUSO DE 500 ml - MARCA : Q BOA;R$ 2,80;46,;R$ 2,00;R$ 92,00;R$ 128,80;527;MATERIAL DE LIMPEZA;;;30;100;N∆o;;N∆o;;40;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;28/03/2017 10:45:42;13/07/2020 15:58:39;admin;;
LIMPADOR MULTIUSO TECH - MARCA : UAU;R$ 4,06;3,;R$ 2,80;R$ 8,40;R$ 12,18;242;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;04/06/2014 20:57:13;15/12/2020 11:10:22;admin;;
LIMPEZA PESADA COM CLORO ATIVO - MARCA : UAU;R$ 5,56;15,;R$ 3,84;R$ 57,60;R$ 83,40;79;MATERIAL DE LIMPEZA;;;50;1000;Sim;985;N∆o;;;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;02/04/2014 21:42:52;15/12/2020 11:08:13;admin;;
LIXEIRA BASCULHANTE DE 30 LITROS - MARCA : PLASVALE;R$ 24,01;0,;R$ 16,56;R$ 0,00;R$ 0,00;329;MATERIAL PLASTICO;;;5;100;Sim;100;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;04/09/2014 18:14:40;17/01/2019 16:07:17;admin;;
LIXEIRA COM PEDAL 12 LITROS ;R$ 31,90;2,;R$ 22,00;R$ 44,00;R$ 63,80;328;MATERIAL PLASTICO;;;5;100;Sim;98;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;04/09/2014 18:13:54;10/11/2020 15:20:07;admin;;
LIXEIRA COM PEDAL 21 LITROS - MARCA : TRITEC;R$ 39,33;1,;R$ 27,13;R$ 27,13;R$ 39,33;401;MATERIAL PLASTICO;;;0;0;s/m;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;05/03/2015 14:57:12;10/11/2020 15:20:17;admin;;
LIXEIRA COM PEDAL 25 LITROS - MARCA : MARFINIT;R$ 91,35;0,;R$ 63,00;R$ 0,00;R$ 0,00;402;MATERIAL PLASTICO;;;5;10;Sim;10;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;05/03/2015 14:57:55;21/09/2020 16:28:06;admin;;
LIXEIRA TELADA DE 10 LITROS - MARCA : ARQPLAST;R$ 4,82;122,;R$ 3,33;R$ 406,26;R$ 588,04;200;MATERIAL PLASTICO;;;30;2000;N∆o;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;13/05/2014 10:05:15;24/09/2020 14:48:37;admin;;
LUMINARIA DE EMERG“NCIA - MARCA : PRATIK;R$ 29,51;40,;R$ 21,08;R$ 843,20;R$ 1.180,40;303;MATERIAL PERMANENTE;;;5;50;N∆o;;N∆o;;40;94051099   LUSTRES E APARSILUMINELETRDE OUTSMATERP/TETO/PARED;;;;;;;;28/07/2014 14:19:02;23/05/2018 10:37:16;admin;;
LUSTRA MOVEIS 200 ml - MARCA : AUDAX;R$ 1,88;97,;R$ 1,30;R$ 126,10;R$ 182,36;88;MATERIAL DE LIMPEZA;;;20;1000;N∆o;;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;02/04/2014 21:53:07;13/07/2020 16:00:20;admin;;
LUSTRA MOVEIS 500 ml - MARCA : AUDAX;R$ 4,19;0,;R$ 2,89;R$ 0,00;R$ 0,00;317;MATERIAL DE LIMPEZA;;;20;1000;Sim;1000;N∆o;;;34052000   ENCAUSTICAS/PREPARSP/CONSERVSDE MOVEIS,ETCDE MADEI;;;;;;;;15/08/2014 19:46:15;23/05/2018 10:37:44;admin;;
LUVA BICOLOR  GRANDE - MARCA VOLK;R$ 10,00;104,;R$ 6,90;R$ 717,60;R$ 1.040,00;63;MATERIAL DESCARTAVEL;;;20;10000;N∆o;;N∆o;;45;40151900   OUTRAS LUVAS DE BORRACHA VULCANIZADA,NAO ENDURECID;;;;;;;;02/04/2014 10:09:16;27/10/2020 15:33:10;admin;;
LUVA BICOLOR MêDIA - MARCA VOLK;R$ 10,00;81,;R$ 6,90;R$ 558,90;R$ 810,00;62;MATERIAL DESCARTAVEL;;;20;2000;N∆o;;N∆o;;45;40151900   OUTRAS LUVAS DE BORRACHA VULCANIZADA,NAO ENDURECID;;;;;;;;02/04/2014 10:08:33;27/10/2020 15:33:19;admin;;
LUVA CIRURGICA Nß 7,0 - PAR - MARCA : MAXITEX;R$ 1,50;0,;R$ 0,76;R$ 0,00;R$ 0,00;52;MATERIAL HOSPITALAR;;;10;100;Sim;100;N∆o;;97,36842105;40151900   OUTRAS LUVAS DE BORRACHA VULCANIZADA,NAO ENDURECID;;;;;;;;01/04/2014 09:57:43;21/10/2020 14:35:56;admin;;
LUVA CIRURGICA Nß 7,5 - PAR - MARCA : MAXITEX;R$ 1,50;1980,;R$ 0,76;R$ 1.504,80;R$ 2.970,00;50;MATERIAL HOSPITALAR;;;5;100;N∆o;;N∆o;;97,36842105;40151900   OUTRAS LUVAS DE BORRACHA VULCANIZADA,NAO ENDURECID;;;;;;;;01/04/2014 09:56:55;13/11/2020 11:38:09;admin;;
LUVA CIRURGICA Nß 8,0 - PAR - MARCA : MAXITEX;R$ 1,50;1900,;R$ 0,76;R$ 1.444,00;R$ 2.850,00;51;MATERIAL HOSPITALAR;;;5;100;N∆o;;N∆o;;97,36842105;40151900   OUTRAS LUVAS DE BORRACHA VULCANIZADA,NAO ENDURECID;;;;;;;;01/04/2014 09:57:22;13/11/2020 11:38:19;admin;;
LUVA CIRURGICA Nß 8,5 - PAR - MARCA : MAXITEX;R$ 1,50;1250,;R$ 0,76;R$ 950,00;R$ 1.875,00;152;MATERIAL HOSPITALAR;;;500;10000;N∆o;;N∆o;;97,36842105;40151900   OUTRAS LUVAS DE BORRACHA VULCANIZADA,NAO ENDURECID;;;;;;;;14/04/2014 19:02:43;13/11/2020 11:38:40;admin;;
LUVA DE MALHA AZUL - MARCA : ;R$ 6,52;10,;R$ 4,50;R$ 45,00;R$ 65,20;541;MATERIAL DE LIMPEZA;;;10;2000;N∆o;;N∆o;;;28153000   PEROXIDOS DE SODIO OU DE POTASSIO;;;;;;;;30/06/2016 19:40:33;17/01/2020 08:20:40;admin;;
LUVA DE MALHA PIGMENTADA - MARCA : ;R$ 4,06;6,;R$ 2,80;R$ 16,80;R$ 24,36;460;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;90183119   OUTRAS SERINGAS DE PLASTICO,MESMO C/AGULHAS;;;;;;;;08/01/2016 17:05:05;16/12/2020 09:00:22;admin;;
